"","date","time.x","Lat","Lon","Base","day.x","month.x","year.x","timeNum","time.y","hourlyskyconditions","hourlydrybulbtempf","hourlywetbulbtempf","hourlyrelativehumidity","hourlywindspeed","dailyweather","dailysnowfall","dailyprecip","dailysnowdepth","day.y","month.y","year.y"
"32",2014-04-01,05:12:00,40.7893,-73.9709,"B02512","Tuesday",4,2014,6,05:51:00,"CLR:00",39,34,57,7,"","","",NA,"Tuesday",4,2014
"33",2014-04-01,05:18:00,40.7747,-73.991,"B02512","Tuesday",4,2014,6,05:51:00,"CLR:00",39,34,57,7,"","","",NA,"Tuesday",4,2014
"34",2014-04-01,05:19:00,40.7689,-73.9876,"B02512","Tuesday",4,2014,6,05:51:00,"CLR:00",39,34,57,7,"","","",NA,"Tuesday",4,2014
"35",2014-04-01,05:23:00,40.7744,-74.0149,"B02512","Tuesday",4,2014,6,05:51:00,"CLR:00",39,34,57,7,"","","",NA,"Tuesday",4,2014
"36",2014-04-01,05:24:00,40.7393,-73.9974,"B02512","Tuesday",4,2014,6,05:51:00,"CLR:00",39,34,57,7,"","","",NA,"Tuesday",4,2014
"37",2014-04-01,05:24:00,40.7776,-73.9752,"B02512","Tuesday",4,2014,6,05:51:00,"CLR:00",39,34,57,7,"","","",NA,"Tuesday",4,2014
"38",2014-04-01,05:27:00,40.6483,-73.7829,"B02512","Tuesday",4,2014,6,05:51:00,"CLR:00",39,34,57,7,"","","",NA,"Tuesday",4,2014
"39",2014-04-01,05:34:00,40.6907,-74.1782,"B02512","Tuesday",4,2014,6,05:51:00,"CLR:00",39,34,57,7,"","","",NA,"Tuesday",4,2014
"40",2014-04-01,05:36:00,40.7217,-73.9875,"B02512","Tuesday",4,2014,6,05:51:00,"CLR:00",39,34,57,7,"","","",NA,"Tuesday",4,2014
"41",2014-04-01,05:36:00,40.7651,-73.9632,"B02512","Tuesday",4,2014,6,05:51:00,"CLR:00",39,34,57,7,"","","",NA,"Tuesday",4,2014
"42",2014-04-01,05:40:00,40.7437,-73.9985,"B02512","Tuesday",4,2014,6,05:51:00,"CLR:00",39,34,57,7,"","","",NA,"Tuesday",4,2014
"43",2014-04-01,05:43:00,40.7605,-73.978,"B02512","Tuesday",4,2014,6,05:51:00,"CLR:00",39,34,57,7,"","","",NA,"Tuesday",4,2014
"44",2014-04-01,05:44:00,40.743,-74.0301,"B02512","Tuesday",4,2014,6,05:51:00,"CLR:00",39,34,57,7,"","","",NA,"Tuesday",4,2014
"45",2014-04-01,05:44:00,40.743,-74.0301,"B02512","Tuesday",4,2014,6,05:51:00,"CLR:00",39,34,57,7,"","","",NA,"Tuesday",4,2014
"46",2014-04-01,05:49:00,40.7423,-74.0371,"B02512","Tuesday",4,2014,6,05:51:00,"CLR:00",39,34,57,7,"","","",NA,"Tuesday",4,2014
"47",2014-04-01,05:49:00,40.7236,-74.0037,"B02512","Tuesday",4,2014,6,05:51:00,"CLR:00",39,34,57,7,"","","",NA,"Tuesday",4,2014
"48",2014-04-01,05:52:00,40.7723,-73.9527,"B02512","Tuesday",4,2014,6,05:51:00,"CLR:00",39,34,57,7,"","","",NA,"Tuesday",4,2014
"49",2014-04-01,05:52:00,40.7574,-73.9862,"B02512","Tuesday",4,2014,6,05:51:00,"CLR:00",39,34,57,7,"","","",NA,"Tuesday",4,2014
"50",2014-04-01,05:53:00,40.7838,-73.9504,"B02512","Tuesday",4,2014,6,05:51:00,"CLR:00",39,34,57,7,"","","",NA,"Tuesday",4,2014
"51",2014-04-01,05:54:00,40.7711,-73.9871,"B02512","Tuesday",4,2014,6,05:51:00,"CLR:00",39,34,57,7,"","","",NA,"Tuesday",4,2014
"52",2014-04-01,05:56:00,40.7571,-73.9726,"B02512","Tuesday",4,2014,6,05:51:00,"CLR:00",39,34,57,7,"","","",NA,"Tuesday",4,2014
"53",2014-04-01,05:56:00,40.7442,-73.9854,"B02512","Tuesday",4,2014,6,05:51:00,"CLR:00",39,34,57,7,"","","",NA,"Tuesday",4,2014
"54",2014-04-01,05:58:00,40.7166,-74.0144,"B02512","Tuesday",4,2014,6,05:51:00,"CLR:00",39,34,57,7,"","","",NA,"Tuesday",4,2014
"55",2014-04-01,06:00:00,40.7507,-73.9703,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"56",2014-04-01,06:01:00,40.7337,-73.9979,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"57",2014-04-01,06:02:00,40.7236,-74.0111,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"58",2014-04-01,06:03:00,40.7151,-74.0464,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"59",2014-04-01,06:06:00,40.7701,-73.9588,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"60",2014-04-01,06:08:00,40.86,-73.9142,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"61",2014-04-01,06:08:00,40.7555,-73.9729,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"62",2014-04-01,06:14:00,40.7249,-74.0355,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"63",2014-04-01,06:14:00,40.6193,-74.157,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"64",2014-04-01,06:15:00,40.7753,-73.978,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"65",2014-04-01,06:15:00,40.7204,-73.9545,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"66",2014-04-01,06:16:00,40.7772,-73.9595,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"67",2014-04-01,06:17:00,40.7651,-74.082,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"68",2014-04-01,06:17:00,40.74,-73.9879,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"69",2014-04-01,06:19:00,40.7741,-73.9568,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"70",2014-04-01,06:20:00,40.7599,-73.9944,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"71",2014-04-01,06:21:00,40.7531,-74.0039,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"72",2014-04-01,06:22:00,40.7791,-73.9623,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"73",2014-04-01,06:25:00,40.7382,-74.0033,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"74",2014-04-01,06:31:00,40.7391,-73.9989,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"75",2014-04-01,06:31:00,40.7806,-73.982,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"76",2014-04-01,06:32:00,40.7322,-73.9863,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"77",2014-04-01,06:33:00,40.7703,-73.966,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"78",2014-04-01,06:34:00,40.7221,-74.0018,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"79",2014-04-01,06:35:00,40.7588,-73.9895,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"80",2014-04-01,06:36:00,40.7677,-73.9656,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"81",2014-04-01,06:37:00,40.7404,-74.0076,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"82",2014-04-01,06:38:00,40.7679,-73.9599,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"83",2014-04-01,06:39:00,40.7694,-73.9852,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"84",2014-04-01,06:40:00,40.7858,-73.9546,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"85",2014-04-01,06:40:00,40.7742,-73.9491,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"86",2014-04-01,06:42:00,40.7703,-73.95,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"87",2014-04-01,06:42:00,40.7614,-73.9997,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"88",2014-04-01,06:43:00,40.793,-73.9749,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"89",2014-04-01,06:44:00,40.7231,-73.9442,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"90",2014-04-01,06:45:00,40.7874,-73.9545,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"91",2014-04-01,06:47:00,40.7689,-73.9812,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"92",2014-04-01,06:47:00,40.7789,-73.9557,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"93",2014-04-01,06:48:00,40.7271,-74.0054,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"94",2014-04-01,06:52:00,40.7877,-73.973,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"95",2014-04-01,06:52:00,40.7255,-74.0092,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"96",2014-04-01,06:54:00,40.7653,-73.9723,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"97",2014-04-01,06:56:00,40.7644,-73.9769,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"98",2014-04-01,06:57:00,40.7726,-73.9532,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"99",2014-04-01,06:59:00,40.7898,-73.9661,"B02512","Tuesday",4,2014,7,06:51:00,"CLR:00",40,34,55,3,"","","0.01",NA,"Tuesday",4,2014
"100",2014-04-01,07:00:00,40.7839,-73.9703,"B02512","Tuesday",4,2014,8,07:51:00,"CLR:00",42,35,51,5,"","","",NA,"Tuesday",4,2014
"101",2014-04-01,07:00:00,40.7236,-74.0016,"B02512","Tuesday",4,2014,8,07:51:00,"CLR:00",42,35,51,5,"","","",NA,"Tuesday",4,2014
"102",2014-04-01,07:00:00,40.699,-73.9951,"B02512","Tuesday",4,2014,8,07:51:00,"CLR:00",42,35,51,5,"","","",NA,"Tuesday",4,2014
"103",2014-04-01,07:00:00,40.7581,-73.9219,"B02512","Tuesday",4,2014,8,07:51:00,"CLR:00",42,35,51,5,"","","",NA,"Tuesday",4,2014
"104",2014-04-01,07:01:00,40.768,-73.9191,"B02512","Tuesday",4,2014,8,07:51:00,"CLR:00",42,35,51,5,"","","",NA,"Tuesday",4,2014
"105",2014-04-01,07:02:00,40.7677,-73.9897,"B02512","Tuesday",4,2014,8,07:51:00,"CLR:00",42,35,51,5,"","","",NA,"Tuesday",4,2014
"106",2014-04-01,07:02:00,40.771,-73.866,"B02512","Tuesday",4,2014,8,07:51:00,"CLR:00",42,35,51,5,"","","",NA,"Tuesday",4,2014
"107",2014-04-01,07:03:00,40.7808,-73.9487,"B02512","Tuesday",4,2014,8,07:51:00,"CLR:00",42,35,51,5,"","","",NA,"Tuesday",4,2014
"108",2014-04-01,07:06:00,40.7147,-74.0362,"B02512","Tuesday",4,2014,8,07:51:00,"CLR:00",42,35,51,5,"","","",NA,"Tuesday",4,2014
"109",2014-04-01,07:07:00,40.7732,-73.9504,"B02512","Tuesday",4,2014,8,07:51:00,"CLR:00",42,35,51,5,"","","",NA,"Tuesday",4,2014
"110",2014-04-01,07:08:00,40.7335,-74.0043,"B02512","Tuesday",4,2014,8,07:51:00,"CLR:00",42,35,51,5,"","","",NA,"Tuesday",4,2014
"111",2014-04-01,07:08:00,40.7754,-73.9782,"B02512","Tuesday",4,2014,8,07:51:00,"CLR:00",42,35,51,5,"","","",NA,"Tuesday",4,2014
"112",2014-04-01,07:09:00,40.7752,-73.9455,"B02512","Tuesday",4,2014,8,07:51:00,"CLR:00",42,35,51,5,"","","",NA,"Tuesday",4,2014
"113",2014-04-01,07:09:00,40.7243,-74.0021,"B02512","Tuesday",4,2014,8,07:51:00,"CLR:00",42,35,51,5,"","","",NA,"Tuesday",4,2014
"114",2014-04-01,07:09:00,40.7786,-73.9512,"B02512","Tuesday",4,2014,8,07:51:00,"CLR:00",42,35,51,5,"","","",NA,"Tuesday",4,2014
"115",2014-04-01,07:11:00,40.7877,-73.9788,"B02512","Tuesday",4,2014,8,07:51:00,"CLR:00",42,35,51,5,"","","",NA,"Tuesday",4,2014
